PitcherThrows,RelSpeed,SpinRate,RelHeight,ZoneSpeed,ZoneTime,Extension,VertRelAngle,HorzRelAngle,SpinAxis,RelSide,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,VertApprAngle,HorzApprAngle,TaggedPitchNum
231,Left,81.88732,1881.463482,6.19822,74.28222,0.476146,4.82971,-0.928235,1.89177,141.173375,-1.6516,-27.92911,15.8369,-11.51587,2.99119,-0.81907,-6.07813,-0.134473,0
232,Left,72.9139,1650.770227,6.20658,67.02922,0.540109,4.21433,0.610026,0.878039,334.627787,-1.52576,-64.90598,-8.59158,4.95622,1.3821,-0.27173,-10.898927,1.743413,4
233,Left,72.98214,1557.92761,6.00377,66.54303,0.536084,4.5648,1.009151,1.602471,117.904977,-1.90004,-45.92337,9.55489,-14.51694,3.13764,-1.58442,-7.312468,-0.940147,2
234,Left,70.97508,1491.555085,6.0589,64.78023,0.558168,4.1062,1.623307,1.472099,6.207566,-1.76826,-72.00716,-11.86394,-1.52095,1.61703,-0.48201,-11.141095,1.207185,4
235,Left,75.02962,1602.664803,5.95163,68.10178,0.519963,4.81698,1.232722,2.381555,113.042142,-2.01524,-43.46589,8.72595,-16.27576,3.49834,-1.11436,-6.694361,-0.48011,2
236,Left,72.59819,1669.062412,5.85172,66.26311,0.539992,4.52211,0.270008,2.090647,101.893114,-2.17037,-50.50877,5.78134,-18.24647,1.89998,-1.69893,-8.831668,-1.105705,2
237,Left,73.42537,1525.542873,6.08399,66.95466,0.534778,4.4618,2.324012,-0.514611,328.002908,-1.68034,-64.40763,-9.1993,6.91867,2.93379,-1.59444,-9.200668,0.696736,4
238,Left,73.62767,1621.198812,5.98824,67.39951,0.5286,4.82734,-0.083498,3.073026,112.802255,-1.98964,-45.71392,8.22622,-15.29383,2.09955,-0.35101,-8.371502,0.382812,2
257,Left,71.76724,1420.031078,6.24984,66.11924,0.548691,4.19053,0.822978,0.626974,314.847064,-1.57299,-67.72346,-9.60508,11.55694,1.39487,-0.00914,-11.167553,2.644205,0
258,Left,71.50941,1442.755712,6.33156,65.5148,0.550801,4.45566,0.80435,0.982397,343.321919,-1.54836,-76.48244,-17.91627,5.98701,0.72517,-0.1126,-12.770838,2.034787,4
259,Left,72.48439,1611.558025,5.86031,66.05364,0.541223,4.53637,-0.409034,2.854089,110.380093,-2.19878,-45.91617,10.63083,-23.25513,1.64402,-1.41698,-8.712836,-1.218106,2
260,Left,72.27223,1658.001627,5.84337,66.06044,0.542091,4.52287,-0.669495,2.314772,117.171072,-2.25516,-44.50817,12.22044,-20.00836,1.4962,-1.71681,-8.714956,-1.189593,2
261,Left,80.84774,2066.094808,6.3567,73.48376,0.484882,4.71164,-3.41237,3.097697,123.510395,-1.66938,-29.7695,15.61717,-21.09257,0.62873,-0.48427,-8.84483,-0.60667,0
262,Left,81.09125,2162.415727,6.21669,73.81175,0.483529,4.59071,-2.664054,3.797044,132.307655,-1.89043,-27.5819,17.55194,-17.5406,1.37679,0.26485,-7.711535,0.729438,0
263,Left,73.79612,1704.528398,6.05574,67.69905,0.52869,4.58414,0.372003,2.446449,108.907156,-2.01865,-45.63916,8.31922,-19.21773,2.6067,-1.29141,-7.867989,-0.921177,2
264,Left,72.61482,1502.394315,6.30858,64.84987,0.548246,4.24977,5.421861,-2.174472,333.20344,-1.58964,-69.35118,-11.32713,6.83926,5.73808,-3.10197,-6.988815,-0.987158,2
265,Left,71.9707,1500.471569,6.31593,65.08883,0.549133,4.38126,2.334497,0.949432,314.711921,-1.38092,-65.28531,-7.07335,9.30749,3.1061,0.30135,-9.36422,2.575576,4
266,Left,72.96949,1648.194104,5.81772,66.4492,0.536431,4.61715,1.333514,1.435774,94.345185,-2.03457,-52.55503,2.995,-14.32816,2.70657,-1.86327,-8.157724,-1.077859,2
267,Left,72.96329,1699.130656,5.94799,66.46418,0.537083,4.5971,0.98845,1.154304,84.704397,-1.97064,-55.27834,0.40697,-16.50343,2.28183,-2.24795,-8.967898,-1.742309,2
268,Left,80.58953,1983.511298,6.37301,72.80937,0.486956,4.67169,-1.269535,2.919122,124.745224,-1.52819,-32.73738,13.03847,-16.36462,2.43737,-0.117,-7.259749,0.048962,0
