PitcherThrows,RelSpeed,SpinRate,RelHeight,ZoneSpeed,ZoneTime,Extension,VertRelAngle,HorzRelAngle,SpinAxis,RelSide,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,VertApprAngle,HorzApprAngle,TaggedPitchNum
0,Right,86.80254,2062.897785,5.7269,79.27416,0.448457,4.76819,-1.950851,-2.313641,232.072739,1.06025,-25.17474,13.64914,15.87253,1.7772,0.18823,-6.562681,0.476383,0
1,Right,76.54463,2865.892323,5.77641,70.99656,0.507896,4.53762,0.859699,-0.711474,36.162767,0.88722,-56.28798,-6.49052,-5.79296,1.9044,-0.27296,-9.176456,-1.727668,1
2,Right,87.90901,2084.55973,5.67256,80.28422,0.443379,4.64137,-0.680931,-2.861092,241.168745,0.85652,-26.85045,11.09914,17.94261,2.78709,-0.36942,-5.579367,0.282946,0
3,Right,78.4708,2207.684748,5.58826,71.76704,0.493082,5.02896,1.411418,-1.348122,262.884206,1.12437,-43.49494,3.43992,15.60068,3.29604,1.15219,-6.505137,1.408125,2
4,Right,83.77439,2227.110249,5.71562,76.24512,0.461278,5.20406,0.194686,-1.370465,160.16248,1.01139,-31.68061,9.39489,-2.89752,3.25872,-0.51921,-5.635849,-1.883773,3
5,Right,87.28506,2043.495575,5.79122,79.54617,0.447632,4.61262,-1.373053,-2.677135,237.817113,1.01715,-27.48529,11.19591,15.73788,2.1936,-0.21865,-6.382858,0.08024,0
6,Right,84.60418,2306.413544,5.99598,77.26356,0.457455,5.08068,-0.832483,-1.577675,193.348406,0.9054,-32.35541,8.04193,1.59374,2.51461,-0.44933,-6.74848,-1.295798,3
7,Right,87.95156,2102.326645,6.03878,79.84253,0.443661,4.70057,-0.192723,-1.652419,232.121284,0.76473,-25.57604,12.42194,14.32139,3.72442,0.38915,-4.890894,0.861532,0
8,Right,86.15164,2158.946801,5.96106,78.75064,0.450847,4.95563,-3.152427,-2.733861,224.534665,0.80698,-23.69253,15.54619,14.00469,1.00181,-0.61092,-7.508536,-0.264561,0
9,Right,86.96459,2111.123151,5.87419,78.92413,0.449525,4.63766,-0.528213,-2.022715,237.439738,0.83233,-27.09312,11.91591,16.57375,3.11411,0.29035,-5.49003,0.883288,0
10,Right,75.7056,2866.229947,6.02137,68.99605,0.517055,4.60615,2.069072,-0.898479,353.759965,0.89329,-59.17948,-7.56989,1.01811,3.05837,0.12369,-8.557009,-0.719823,4
11,Right,88.61554,2142.757952,6.04629,79.93365,0.443561,4.53292,-1.664866,-1.530523,229.34122,0.8358,-22.3471,15.63371,16.58914,2.59775,0.76052,-5.790347,1.373592,0
12,Right,80.12681,2517.75046,5.93669,71.47672,0.493616,4.58104,0.679124,0.737675,75.950403,1.04483,-46.35455,0.68197,-4.8689,2.71999,1.34091,-7.733659,-0.116343,1
13,Right,77.25856,2911.293068,6.21086,69.6454,0.510718,4.62592,0.597913,-1.780214,3.462796,0.62922,-62.07618,-11.72383,-0.82705,1.6065,-1.13246,-10.535202,-1.925636,4
14,Right,87.21051,2117.424023,5.91159,77.76629,0.451643,4.79552,-1.352383,-2.651526,246.753269,0.87049,-29.71407,9.66347,18.78962,2.15228,-0.07812,-6.822072,0.652955,0
15,Right,80.61366,2635.180895,5.86758,73.47703,0.485443,4.65588,-0.196294,-2.134549,12.266245,1.04899,-46.70211,-1.21032,-0.6015,1.78911,-1.03,-8.597229,-2.240144,1
16,Right,88.46344,2157.185224,5.98287,80.21242,0.441631,4.76787,-1.887009,-1.242972,240.187859,0.87069,-26.04808,11.60296,17.93784,2.02207,1.18687,-6.65988,1.912718,0
17,Right,85.49604,1754.631225,5.44604,77.8571,0.449905,5.50318,-2.082869,-2.607351,228.77032,1.43761,-24.36135,14.71363,15.27343,1.46502,0.27015,-6.620586,0.113147,0
18,Right,86.24272,1807.040139,5.40644,77.79032,0.450066,5.20054,-0.878476,-1.571985,236.052704,1.63765,-25.38879,13.71418,18.26532,2.46408,1.68087,-5.603426,1.665184,0
19,Right,79.83194,1642.417779,5.19681,73.08282,0.481092,5.50497,-1.305093,-3.516444,241.840498,1.5194,-33.91557,10.76449,17.36993,1.14744,-0.32592,-7.553541,-0.424605,2
20,Right,88.15782,1843.872004,5.35683,80.1284,0.437812,5.27226,-1.183048,-2.530077,223.05766,1.56002,-19.20639,17.79619,15.46769,2.64383,0.47097,-4.792004,0.211719,0
21,Right,76.81299,1986.75942,5.44956,68.52893,0.511414,4.98147,1.631773,-0.381334,51.286393,1.62011,-53.62554,-3.13599,-6.4563,2.52221,0.72196,-8.147684,-1.521997,1
22,Right,85.99821,1949.344068,5.50639,78.77446,0.448179,5.32941,-2.741299,-3.511581,229.772738,1.63899,-25.97931,12.79638,13.6317,0.7625,-0.52406,-7.526128,-1.093752,0
23,Right,78.4786,1789.558718,5.31753,71.34941,0.493262,5.36291,-1.832293,-4.445046,224.949487,1.70469,-33.0984,13.87064,12.18158,0.83541,-1.45671,-7.938398,-2.287336,2
24,Right,85.4908,1860.001525,5.61646,76.33811,0.456729,5.30324,-2.820263,-2.869038,228.155027,1.59456,-24.67734,15.59202,15.57792,0.90703,0.19716,-7.441827,-0.104767,0
25,Right,87.24033,2015.539725,5.3941,78.96287,0.442945,5.38541,-1.61889,-2.833263,224.095236,1.72546,-22.86446,15.01095,13.24327,1.96906,0.17124,-5.893157,-0.481117,0
26,Right,76.09747,2251.444858,5.36293,70.59166,0.509325,4.71425,1.079876,-2.263841,8.868018,1.81138,-55.62306,-5.54508,-1.08831,1.75343,-0.42888,-8.870535,-2.455029,1
27,Right,86.13189,1917.575189,5.52052,77.97648,0.449652,5.351,-2.897215,-2.766623,224.673149,1.61511,-23.09706,15.93398,14.35229,0.87293,0.21425,-7.204553,-0.217798,0
28,Right,86.75169,1928.746335,5.59988,78.27075,0.447118,5.29371,-1.133518,-1.845188,253.049489,1.40853,-31.22325,7.36914,19.53159,1.93298,1.30309,-6.889452,1.624656,5
29,Right,87.31171,1937.088688,5.53162,78.94776,0.443259,5.29464,-1.604304,-2.725118,210.764483,1.46447,-18.07257,19.85647,11.01914,2.5172,-0.17781,-5.028329,-0.772091,0
30,Right,85.57505,2053.965609,5.54073,77.65465,0.451638,5.38156,-2.59358,-1.85266,231.564096,1.56043,-25.4156,13.96103,15.82855,0.98865,1.14222,-7.310478,0.963186,0
31,Right,77.2229,2222.660962,5.50593,72.20485,0.499814,4.93792,-1.073365,-4.056674,30.728759,1.30572,-50.92617,-2.70106,-2.38906,0.24495,-2.73386,-10.1602,-4.477238,1
32,Right,84.18807,1857.379626,5.398,77.059,0.457055,5.31113,-0.765321,-3.231605,243.122078,1.78235,-29.13671,11.19016,19.54233,2.25042,0.37443,-6.134279,0.23449,5
33,Right,86.61016,1960.120644,5.483,79.29661,0.444276,5.21409,-0.565258,-2.40566,213.545058,1.76908,-19.31607,18.78718,11.67469,3.34132,0.47858,-4.181665,-0.33892,0
34,Right,85.03919,1972.047413,5.51992,78.00466,0.452969,5.22773,-2.276948,-2.703978,224.024361,1.60339,-22.64147,16.96749,15.18398,1.48914,0.32491,-6.473499,-0.014023,0
35,Right,85.01827,1905.721536,5.42204,77.5527,0.453502,5.22051,-0.817051,-1.573482,214.141911,1.85877,-21.47686,18.22548,11.48532,2.86377,1.33613,-4.83158,0.461834,0
36,Right,85.12759,1864.939879,5.49398,77.65183,0.452972,5.36372,-2.085611,-1.968085,244.560922,1.72331,-29.49313,10.1165,18.45103,1.07853,1.4147,-7.513671,1.314254,5
37,Right,78.893,1727.918818,5.28703,72.41874,0.488165,5.25087,-0.47289,-2.978755,253.850629,1.83429,-38.43163,7.57174,21.10989,1.63943,0.7919,-7.496267,0.764747,2
38,Right,76.47016,2070.97108,5.41505,71.26333,0.500389,5.1709,1.715361,-1.802129,62.290238,1.83727,-48.38766,-0.0515,-2.48878,2.99828,-0.06659,-7.03548,-2.242662,1
39,Right,85.49559,1968.462395,5.40393,78.36976,0.4488,5.44307,-2.05034,-2.824965,226.361212,1.55547,-22.75222,16.13107,15.62005,1.58501,0.20995,-6.283248,-0.047126,0
40,Right,86.37472,2001.74132,5.49776,78.6243,0.447642,5.19713,-1.37618,-2.501107,240.246048,1.62479,-26.06974,12.6132,19.78237,2.02937,0.91928,-6.194098,1.003254,5
41,Right,78.93088,1604.363009,5.26072,71.26222,0.492636,5.24245,-1.3773,-2.434697,245.813373,1.72339,-37.63132,9.21863,16.59611,0.82895,0.81686,-8.296796,0.510931,2
42,Right,77.99882,1650.272209,5.12233,70.57282,0.497291,5.26886,0.013701,-2.408521,258.683688,2.01436,-42.58077,5.1587,17.11434,1.58682,1.17677,-7.796866,0.629362,2
43,Right,86.60058,1978.880189,6.08781,79.16292,0.452048,4.51555,-2.366001,0.619888,237.160958,0.79952,-27.46805,11.98016,16.53749,1.54378,2.76811,-7.342151,3.515179,0
44,Right,86.98598,1988.278362,6.06572,79.26575,0.448855,4.70231,-2.341119,-2.092296,236.049494,0.71384,-26.27312,12.61969,16.77997,1.65129,0.12519,-7.139599,0.85521,0
45,Right,77.15222,2152.503178,5.63974,69.18986,0.504286,5.29436,0.310954,-3.106325,240.088812,1.02049,-36.63285,12.4591,18.37174,2.8794,-0.36793,-6.489771,0.150707,2
46,Right,87.75699,2172.121703,5.95368,79.93724,0.445449,4.65014,-2.460645,-3.18675,232.508814,0.83139,-23.61533,14.6895,17.45198,1.6427,-0.74529,-6.790158,-0.128742,0
47,Right,77.08146,2188.399008,5.5964,70.70329,0.499624,5.24815,-0.020976,-2.854288,240.977537,0.99792,-37.95049,10.23812,15.70099,2.41412,-0.37809,-6.97596,-0.071585,2
48,Right,75.81674,2943.391473,6.10153,68.67747,0.518551,4.44971,4.223765,0.407512,24.438527,0.62676,-58.35464,-6.44599,-3.72461,5.27404,0.70501,-6.252914,-0.242607,1
49,Right,87.63769,2079.290465,5.98913,80.09981,0.443446,4.80813,-1.865289,-2.564994,228.059716,0.85252,-22.16415,15.79702,16.21028,2.37257,-0.2283,-5.949559,0.284919,0
50,Right,87.53282,2085.359642,6.07509,79.5983,0.446344,4.70499,-2.517882,-1.428926,233.473912,0.79201,-22.95871,15.50017,19.13324,1.76963,1.02984,-6.738885,1.932328,0
51,Right,76.00305,2893.002747,6.15414,69.37533,0.515214,4.60224,1.864757,-2.017112,11.327286,0.69793,-60.5985,-9.35579,-2.21784,2.87935,-1.40592,-8.992476,-2.405977,4
52,Right,77.77043,2897.174268,6.22755,71.60407,0.501892,4.56573,0.417595,-0.801016,19.744953,0.74638,-57.55314,-8.92619,-3.75414,1.8289,-0.32878,-9.852064,-1.460401,1
53,Right,88.68832,2166.690032,5.96545,80.43511,0.440588,4.72168,-1.904114,-2.221618,229.084608,0.79291,-22.08084,15.39253,16.25174,2.31654,0.03807,-5.981384,0.632049,0
54,Right,85.60811,2085.773889,5.87131,77.79696,0.456118,4.82682,-2.926185,-2.353621,231.016452,0.87438,-26.09816,14.06359,15.62276,0.92043,-0.05401,-7.711351,0.396463,0
55,Right,87.02268,2118.852827,5.81729,78.87674,0.448707,4.78741,-1.301328,-2.208998,240.056234,0.98056,-27.79879,11.06835,16.84521,2.26626,0.2897,-6.396107,0.753523,0
56,Right,77.7157,2147.228866,5.63664,70.68783,0.495764,5.40591,0.768021,-2.896677,241.424881,0.97058,-36.80179,10.64512,16.6171,3.29039,-0.36104,-6.029969,0.055469,2
57,Right,86.07139,2114.240817,5.90423,77.59432,0.457249,4.58337,-1.707432,-3.11531,243.008197,1.04573,-30.65037,9.71064,16.10611,1.72284,-0.57866,-7.294745,-0.29511,0
58,Right,86.41019,2100.846347,5.81865,78.68447,0.450656,4.74261,-0.755409,-1.919838,230.790024,0.93413,-23.63966,15.56587,17.49025,3.13171,0.56993,-5.114704,1.152855,0
59,Right,86.26199,2026.114953,5.98287,78.65968,0.451516,4.73366,-1.072088,-2.080562,235.068566,0.79706,-26.57474,12.78056,16.43899,2.75044,0.19229,-5.939088,0.80727,0
60,Right,85.20852,2020.365501,5.8624,77.66403,0.457832,4.73064,-1.914114,-4.229661,215.471911,0.70648,-20.10714,20.3569,13.54312,2.36517,-2.18509,-5.650531,-1.859794,0
61,Right,73.32851,2898.961817,5.99738,66.12724,0.537895,4.44956,4.90426,0.480189,19.07737,0.87155,-66.56445,-10.71075,-4.38488,5.13891,0.96408,-7.034023,-0.284898,4
62,Right,75.00259,2950.894046,6.10869,68.07048,0.52296,4.56508,4.011565,-0.158862,10.782901,0.75553,-63.13795,-10.34268,-2.3089,4.671,0.41194,-7.321784,-0.563012,4
63,Right,86.88287,2108.492174,6.13567,77.19134,0.454981,4.60886,-0.434685,-1.93886,232.336714,0.83559,-25.62108,14.34064,16.46985,3.58701,0.36377,-5.192391,0.947181,0
64,Right,77.00173,2143.963497,5.71313,69.00473,0.507253,5.09612,1.320453,-0.993052,256.227967,1.05761,-44.00699,5.66437,15.31434,3.29064,1.39789,-6.76883,1.716244,2
65,Right,87.0214,2098.439448,6.09084,78.58281,0.449844,4.84857,-3.056912,-3.013953,216.891576,0.75647,-21.43348,17.63095,12.14701,1.40403,-1.08718,-7.038498,-0.878121,0
66,Right,87.11312,2098.649999,5.9665,78.89498,0.448355,4.74218,-0.997163,-0.549473,224.519588,0.97902,-23.63092,15.17521,13.59076,3.05127,1.59037,-5.362711,1.839174,0
67,Right,86.16596,2091.368767,6.07459,77.93137,0.453978,4.69603,-0.484279,-1.596693,235.768739,0.74099,-27.18124,12.60442,16.46273,3.34955,0.59667,-5.47942,1.293593,0
68,Right,77.63814,2953.939809,6.20123,69.97546,0.507868,4.61708,-0.107709,-2.030132,40.321748,0.74871,-51.55129,-1.75941,-3.1137,1.80283,-1.44167,-9.397933,-2.576605,1
69,Right,85.35179,2100.388106,5.963,77.21245,0.459377,4.626,-2.096386,-2.315797,209.113361,0.95875,-21.42946,19.30808,9.93634,2.18193,-0.41575,-6.074946,-0.575037,0
70,Right,86.40577,2076.80137,5.59624,78.12772,0.449769,5.0953,-2.273553,-2.054065,213.067845,1.17925,-18.12017,20.93115,12.71371,1.94117,0.30219,-5.696123,0.19312,0
71,Right,79.5517,1662.81428,5.25073,72.26169,0.485181,5.4097,-1.20939,-2.054671,240.426107,1.56767,-33.12966,12.31308,18.87832,1.35596,1.21503,-7.335621,1.305355,2
72,Right,86.90394,1811.832334,5.57423,79.35204,0.44482,5.18281,-2.146822,-2.063752,229.309237,1.40276,-27.00986,11.18686,11.53241,1.30131,0.42127,-7.110953,-0.020222,0
73,Right,80.95312,1594.043133,5.35459,73.52404,0.476733,5.36268,0.24454,-2.832241,242.923445,1.45595,-35.09222,8.78186,14.24438,2.65983,-0.01501,-6.22673,-0.30304,2
74,Right,78.30019,2062.557184,5.51843,71.19627,0.499227,4.71024,1.901528,-0.671083,2.115653,1.4792,-55.40141,-7.28937,-0.33,2.70717,0.81475,-8.073493,-0.729097,1
75,Right,75.60071,2010.01595,5.56214,69.85707,0.51315,5.12277,-2.372023,-2.019574,47.954756,1.41466,-56.3457,-5.51264,-7.96579,-1.37021,-1.15218,-12.449445,-3.434934,1
76,Right,80.02499,1682.588761,5.28953,72.27053,0.48347,5.38994,-0.503363,-0.505019,230.054855,1.55486,-32.86096,12.2619,12.67764,2.07932,2.138,-6.60096,1.750824,2
77,Right,86.64412,1903.454647,5.51372,77.46539,0.449301,5.29843,-1.284081,-2.155064,208.409431,1.43349,-22.721,16.24918,7.96457,2.41371,0.073,-5.562547,-0.742106,0
78,Right,78.00919,1600.816083,5.25451,70.59506,0.496674,5.32021,-0.396985,-2.863359,236.359241,1.47184,-37.74467,9.87646,12.25012,1.7361,-0.19668,-7.355318,-0.689286,2
79,Right,85.5875,1965.526582,5.40486,77.9508,0.452009,5.34733,-2.770876,-3.468569,249.980146,1.55139,-32.0851,7.35622,16.41076,0.12528,-0.33847,-8.645545,-0.553251,0
80,Right,78.28379,1576.119337,5.28272,71.36939,0.495389,5.22742,-1.536363,-3.133632,265.427356,1.74678,-44.5029,2.87225,15.02328,0.12735,0.04993,-9.628494,-0.467448,2
81,Right,84.12637,1759.443734,5.38874,76.72542,0.457843,5.26053,0.278017,-0.919141,223.8107,1.65626,-25.24623,15.21973,13.35662,3.54612,1.90571,-4.415789,1.449866,0
82,Right,85.25804,1947.675242,5.4513,76.54118,0.4565,5.34976,-2.175047,-3.122254,248.235018,1.74995,-31.57943,8.64945,17.72595,0.77561,0.29574,-8.008628,0.027262,5
83,Right,85.60992,1855.793576,5.54539,77.93165,0.451868,5.24009,-1.850593,-3.104836,244.33755,1.49609,-29.00478,10.4119,18.85981,1.38588,0.14679,-7.187678,0.237996,5
84,Right,84.26686,1818.098662,5.62802,76.40213,0.459828,5.15733,-1.102325,-2.027953,203.026375,1.62452,-23.01446,17.80324,6.9643,2.67176,0.29518,-5.400892,-0.795764,0
85,Right,77.01455,2092.94715,5.50587,70.16001,0.505086,4.91862,1.597813,-1.245298,52.427863,1.72888,-50.62365,-1.37567,-3.9328,2.79865,0.22358,-7.574316,-1.938733,1
86,Right,76.84774,1429.336388,5.23445,70.54813,0.500677,5.30222,0.630438,-3.726124,253.187974,1.97174,-42.05069,6.34126,15.98859,2.32334,-0.19878,-7.054333,-0.893556,2
87,Right,85.52299,1808.182204,5.48235,77.47111,0.452524,5.24556,-0.806503,-1.830122,226.913835,1.61188,-26.30226,13.2289,12.66638,2.53214,0.94696,-5.689829,0.416046,0
88,Right,76.1476,2283.025851,5.4105,69.29534,0.515399,4.44115,2.593455,0.106378,42.556312,1.80667,-55.39078,-4.11114,-5.34733,3.26992,1.46252,-7.349851,-0.828232,1
89,Right,75.1357,2147.117283,5.47088,67.91841,0.51994,4.88571,2.793123,-1.107276,65.494209,1.73639,-53.44912,-1.26197,-6.80918,3.66178,0.12131,-6.914166,-2.306019,1
90,Right,86.45367,1940.468724,5.60152,77.49707,0.448887,5.36076,-0.536477,-2.45914,225.736412,1.51183,-23.57521,15.32324,14.21017,3.13336,0.38854,-4.969702,0.064151,0
91,Right,85.04738,1879.363439,5.48101,76.98073,0.454688,5.32226,-0.620594,-2.62973,229.832611,1.45806,-27.29206,12.61816,13.28674,2.62365,0.09576,-5.690091,-0.271985,0
92,Right,85.18963,1919.570601,5.62863,78.2341,0.451841,5.51508,-4.8874,-1.902299,237.72337,1.37139,-26.47789,12.93418,18.39737,-1.16148,1.1251,-9.738546,1.382133,0
93,Right,86.73627,1910.836452,5.5162,79.10341,0.445265,5.21044,-1.002032,-2.66723,247.706817,1.56077,-29.02352,9.24961,19.47525,2.15418,0.67371,-6.337516,0.783722,5
